fas_id,course_code,department,semester,rating,hours_per_week,num_students,num_sections
109894,ECON 10B,ECON,2025Spring,4.15,4.96,649,5
109898,APCOMP 209A,APCOMP,2022Fall,3.94,10.18,304,2
109898,APCOMP 209A,APCOMP,2023Fall,4.14,9.75,308,2
109898,APCOMP 209A,APCOMP,2024Fall,3.86,9.52,450,3
109899,COMPSCI 109A,COMPSCI,2022Fall,3.94,10.18,304,2
109899,COMPSCI 109A,COMPSCI,2023Fall,4.14,9.75,308,2
109899,COMPSCI 1090A,COMPSCI,2024Fall,3.86,9.52,450,3
109906,HAA 18J,HAA,2023Spring,4.73,3.82,31,1
109906,HAA 18J,HAA,2025Spring,4.56,4.49,74,1
109927,HIST 97B,HIST,2024Spring,4.45,6.6,13,1
109927,HIST 97B,HIST,2025Spring,4.83,9.83,12,1
109930,HIST 97E,HIST,2023Spring,4.3,6.4,16,1
109930,HIST 97E,HIST,2024Spring,4.83,7.64,16,1
109930,HIST 97E,HIST,2025Spring,4.17,9.58,16,1
109942,GOV 94SAF,GOV,2023Spring,5.0,6.14,12,1
109942,GOV 94SAF,GOV,2024Spring,4.82,7.91,12,1
109942,GOV 94SAF,GOV,2025Spring,4.88,7.75,11,1
109959,HAA 144M,HAA,2023Fall,4.6,5.56,12,1
109969,ECON 1544,ECON,2023Spring,4.62,4.46,24,1
110008,UKRA BR,UKRA,2023Spring,5.0,5.25,5,1
110022,STAT 186,STAT,2024Spring,4.1,6.3,16,1
110022,STAT 186,STAT,2025Spring,4.54,7.23,20,1
110043,AFVS 158BR,AFVS,2024Spring,5.0,17.5,8,2
110046,AFVS 241,AFVS,2022Fall,4.6,7.2,7,1
110053,GOV 1430,GOV,2023Spring,4.37,4.5,24,2
110053,GOV 1430,GOV,2024Spring,4.35,4.8,28,2
110053,GOV 1430,GOV,2025Spring,4.37,4.89,29,2
110075,BCS CR,BCS,2022Fall,5.0,3.6,6,1
110075,BCS CR,BCS,2023Spring,5.0,4.0,6,1
110075,BCS CR,BCS,2024Spring,5.0,3.33,6,1
110087,APPHY 275,APPHY,2023Spring,4.2,11.8,23,1
110087,APPHY 275,APPHY,2024Spring,4.46,11.0,22,1
110094,STAT 102,STAT,2023Spring,3.72,7.61,21,2
110094,STAT 102,STAT,2023Fall,4.67,5.67,10,2
110094,STAT 102,STAT,2024Spring,3.74,7.78,24,2
110094,STAT 102,STAT,2025Spring,4.52,8.71,35,1
110099,HISTSCI 1490,HISTSCI,2024Fall,4.63,4.64,21,1
110112,MUSIC 10,MUSIC,2022Fall,4.61,5.77,24,1
110112,MUSIC 10,MUSIC,2023Spring,4.25,4.5,17,1
110112,MUSIC 10,MUSIC,2023Fall,4.73,2.77,26,1
110112,MUSIC 10,MUSIC,2024Spring,4.58,4.09,19,1
110112,MUSIC 10,MUSIC,2024Fall,5.0,5.0,11,1
110112,MUSIC 10,MUSIC,2025Spring,5.0,6.0,10,1
110114,MUSIC 14,MUSIC,2022Fall,4.76,3.26,41,1
110114,MUSIC 14,MUSIC,2023Spring,4.67,3.08,34,1
110114,MUSIC 14,MUSIC,2023Fall,4.62,2.53,40,1
110114,MUSIC 14,MUSIC,2024Spring,4.89,2.0,28,1
110114,MUSIC 14,MUSIC,2024Fall,4.74,2.36,30,1
110114,MUSIC 14,MUSIC,2025Spring,4.78,2.77,27,1
110115,MUSIC 15,MUSIC,2022Fall,4.87,2.7,48,1
110115,MUSIC 15,MUSIC,2023Spring,4.89,3.85,28,1
110115,MUSIC 15,MUSIC,2023Fall,4.9,2.91,49,1
110115,MUSIC 15,MUSIC,2024Spring,4.96,2.0,37,1
110115,MUSIC 15,MUSIC,2024Fall,4.89,4.33,22,1
110115,MUSIC 15,MUSIC,2025Spring,4.92,3.3,31,1
110128,MUSIC 16,MUSIC,2022Fall,4.41,2.71,33,1
110128,MUSIC 16,MUSIC,2023Spring,4.37,3.19,32,1
110128,MUSIC 16,MUSIC,2023Fall,4.76,3.69,41,1
110128,MUSIC 16,MUSIC,2024Spring,4.8,2.46,22,1
110128,MUSIC 16,MUSIC,2024Fall,4.53,3.82,24,1
110128,MUSIC 16,MUSIC,2025Spring,4.71,2.38,20,1
110144,PHYSICS 220,PHYSICS,2025Spring,4.57,12.0,10,1
110215,MATH 268A,MATH,2024Fall,4.4,9.67,29,1
110216,PSY 1009,PSY,2023Spring,4.86,4.0,10,1
110216,PSY 1009,PSY,2024Spring,5.0,6.33,14,1
110216,PSY 1009,PSY,2025Spring,4.75,5.43,13,1
110241,CHEM 110,CHEM,2022Fall,4.44,4.0,82,1
110241,CHEM 110,CHEM,2023Fall,3.83,4.76,67,1
110241,CHEM 110,CHEM,2024Fall,4.04,6.57,71,1
110271,STAT 314HFRA,STAT,2022Fall,3.8,1.5,11,1
